district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
三峽區,房地(土地+建物),新北市三峽區二鬮路136巷24弄61~90號,59.75,,山坡地保育區,丙種建築用地,1080626,土地3建物2車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830927,127.33,4,2,2,有,有,5000000,39271,,0,0,,RPQNMLKLQHOFFIF98CA
三峽區,房地(土地+建物),新北市三峽區復興路1~30號,3.28,住,,,1080616,土地2建物1車位0,十二層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,910801,31.54,1,1,1,有,有,2750000,87191,,0,0,,RPXRMLLMPHOFFIF57CA
中和區,房地(土地+建物),新北市中和區景平路781~810號,11.38,商,,,1080528,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800607,160.95,3,2,2,有,有,13500000,83877,,0,0,含增建或未登記建物。;,RPOOMLQLPHOFFHF66CA
三重區,房地(土地+建物)+車位,新北市三重區集賢路61~90號,23.35,住,,,1080629,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980520,159.29,3,2,2,有,有,17280000,108481,坡道平面,25.36,0,,RPXPMLMJRHOFFGF17CA
淡水區,房地(土地+建物)+車位,新北市淡水區新春街85巷31~60號,12.83,住,,,1080627,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850912,82.2599999999999,3,2,1,有,有,5400000,65646,坡道平面,0,0,,RPXPMLRLQHOFFEF57CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段61~90號,20.81,住,,,1030408,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,136.28,3,1,2,有,有,9400000,77227,坡道平面,30.1,1200000,,RPUPMLQJQHOFFEF96CA
淡水區,房地(土地+建物)+車位,新北市淡水區北新路141巷60弄1~30號,17.62,住,,,1080627,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830809,142.17,3,2,2,有,有,6780000,47689,坡道平面,35.32,0,,RPSPMLTLPHOFFEF17CA
新店區,房地(土地+建物)+車位,新北市新店區寶慶街35巷1~30號,13.64,住,,,1080622,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010501,86.14,2,1,1,有,有,15000000,174135,坡道平面,29.63,0,,RPVNMLOJRHOFFCF56CA
土城區,房地(土地+建物),新北市土城區中央路二段271~300號,14.6,住,,,1080619,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840502,110.039999999999,4,3,2,有,有,13500000,122683,,0,0,含增建或未登記建物。;,RPUNMLQLPHOFFAF09CA
板橋區,房地(土地+建物),新北市板橋區新海路135巷1~30號,8.27,住,,,1080628,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.79,2,2,1,有,有,8400000,120361,,0,0,增建範圍：陽台外推,RPSNMLTLPHOFFAF56CA
