district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
中和區,房地(土地+建物)+車位,新北市中和區圓通路367巷33弄91~120號,184.31,其他,,,1080616,土地4建物1車位1,一層,四層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,980904,499.699999999999,4,2,2,有,有,21800000,43626,坡道平面,31.27,0,,RPPRMLLJQHOFFHF09CA
中和區,房地(土地+建物),新北市中和區秀峰街91~120號,44.13,住,,,1080622,土地2建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650706,113.8,6,1,6,有,無,8500000,74692,,0,0,含增建或未登記建物。;,RPSOMLQKQHOFFHF07CA
中和區,房地(土地+建物),新北市中和區大勇街60巷1~30號,24.25,住,,,1080117,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,610912,61.1,3,1,1,有,無,6800000,111293,,0,0,,RPPNMLTKQHOFFHF96CA
中和區,房地(土地+建物),新北市中和區國光街112巷1~30號,28.44,住,,,1080514,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691203,104.5,3,2,1,有,無,9500000,90909,,0,0,含增建或未登記建物。,RPWOMLQLPHOFFHF57DA
泰山區,房地(土地+建物),新北市泰山區明志路二段273巷3弄1~30號,47.8,住,,,1080715,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680907,100.9,4,1,2,有,無,5800000,57483,,0,0,,RPORMLMLPHOFFBF78EA
中和區,房地(土地+建物),新北市中和區民利街58巷3弄1~30號,46.03,住,,,1080622,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680109,85.56,3,2,2,有,無,12100000,141421,,0,0,含增建或未登記建物。,RPQQMLQLPHOFFHF17DA
中和區,房地(土地+建物),新北市中和區圓通路335巷4弄1~30號,32.71,住,,,1080627,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670927,79.26,3,2,1,有,無,7000000,88317,,0,0,親友、員工或其他特殊關係間之交易。;,RPTOMLKMPHOFFHF76DA
新店區,房地(土地+建物),新北市新店區檳榔路22巷1~30號,36.94,住,,,1080602,土地5建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620403,72.42,2,2,2,有,無,9800000,135322,,0,0,含增建或未登記建物、二人共有,RPOPMLMJQHOFFCF48DA
板橋區,房地(土地+建物),新北市板橋區民生路三段271~300號,23.75,住,,,1080705,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,75.45,0,1,1,有,無,7500000,99404,,0,0,,RPROMLQLPHOFFAF98DA
永和區,房地(土地+建物),新北市永和區秀朗路二段91~120號,39.04,住,,,1080606,土地2建物2車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,621219,87.2,2,2,1,有,無,25800000,295872,,0,0,建商與地主合建案。;,RPQPMLPLPHOFFHF86CA
